vendor_id,year_month,risk_score,delivery_score,dispute_score,quality_score,overall_trend
V457,2025-05,31.5,77.7,16.7,70.4,increasing
V457,2025-05,31.3,73.1,17.3,62.2,increasing
V457,2025-06,32.6,66.4,21.2,78.4,increasing
V457,2025-07,33.9,72.7,18.0,74.9,increasing
V457,2025-08,38.7,55.0,20.9,54.2,increasing
V457,2025-09,39.0,57.9,19.0,63.8,increasing
V457,2025-10,36.8,60.9,14.5,54.2,increasing
V457,2025-11,41.5,58.6,19.9,50.0,increasing
V231,2025-01,27.7,63.1,16.7,72.4,stable
V231,2025-01,23.5,76.2,8.0,79.6,stable
V231,2025-03,26.5,81.4,16.0,77.9,decreasing
V231,2025-04,23.5,73.9,7.2,77.4,decreasing
V231,2025-05,20.5,85.5,13.2,75.9,decreasing
V231,2025-05,21.5,83.4,13.3,84.4,decreasing
V231,2025-06,17.3,75.4,8.4,74.7,decreasing
V231,2025-07,20.7,75.0,14.1,76.6,decreasing
V231,2025-08,15.4,88.8,10.6,86.9,decreasing
V231,2025-09,13.8,76.4,8.4,91.9,decreasing
V231,2025-10,13.8,83.5,3.4,90.8,decreasing
V231,2025-11,12.2,94.9,5.3,83.8,decreasing
V235,2025-01,48.2,52.8,24.7,50.0,stable
V235,2025-01,51.5,48.2,30.6,50.9,stable
V235,2025-03,53.8,44.1,23.3,57.1,increasing
V235,2025-04,51.0,43.6,28.3,62.5,increasing
V235,2025-05,52.0,48.2,28.9,57.0,increasing
V235,2025-05,56.2,47.5,23.6,50.0,increasing
V235,2025-06,57.4,48.7,31.9,50.0,increasing
V235,2025-07,58.3,40.0,26.8,50.0,increasing
V235,2025-08,59.4,45.1,34.0,50.0,increasing
V235,2025-09,60.8,40.0,35.0,50.0,increasing
V235,2025-10,62.6,40.0,31.2,50.0,increasing
V235,2025-11,64.2,44.5,32.3,50.0,increasing
V338,2025-01,80.7,40.0,38.9,50.0,stable
V338,2025-01,84.4,40.0,40.0,50.0,stable
V338,2025-03,84.1,40.0,39.1,50.0,increasing
V338,2025-04,85.9,40.0,43.4,50.0,increasing
V338,2025-05,86.5,40.0,41.7,50.0,increasing
V338,2025-05,86.1,40.0,42.6,50.0,increasing
V338,2025-06,86.3,40.0,43.2,50.0,increasing
V338,2025-07,90.9,40.0,41.6,50.0,increasing
V338,2025-08,90.9,40.0,48.4,50.0,increasing
V338,2025-09,93.6,40.0,46.6,50.0,increasing
V338,2025-10,94.5,40.0,49.1,50.0,increasing
V338,2025-11,95.0,40.0,45.1,50.0,increasing
V499,2025-01,44.8,53.4,20.9,56.3,stable
V499,2025-01,45.8,49.5,20.8,51.2,stable
V499,2025-03,47.6,49.2,24.3,50.0,increasing
V499,2025-04,46.5,47.8,24.0,50.0,increasing
V499,2025-05,50.7,57.9,22.2,56.4,increasing
V499,2025-05,49.2,45.7,22.2,50.0,increasing
V499,2025-06,54.3,52.4,25.7,54.0,increasing
V499,2025-07,51.6,40.0,30.3,50.0,increasing
V499,2025-08,52.5,54.7,30.8,58.0,increasing
V499,2025-09,56.2,40.1,32.1,55.2,increasing
V499,2025-10,59.0,40.0,26.3,50.0,increasing
V499,2025-11,60.1,40.0,32.6,50.0,increasing
V490,2025-01,66.2,40.0,36.7,50.0,stable
V490,2025-01,69.0,40.0,34.7,50.0,stable
V490,2025-03,66.6,40.0,32.1,50.0,stable
V490,2025-04,69.0,40.0,31.4,50.0,stable
V490,2025-05,68.7,40.5,32.8,50.0,stable
V490,2025-05,69.9,40.0,37.5,50.0,stable
V490,2025-06,70.0,40.0,35.7,50.0,stable
V490,2025-07,72.0,40.0,38.2,50.0,stable
V490,2025-08,71.4,40.0,32.7,50.0,stable
V490,2025-09,72.8,40.0,31.5,50.0,stable
V490,2025-10,69.4,40.0,36.0,50.0,stable
V490,2025-11,70.8,40.0,32.9,50.0,stable
V259,2025-01,19.0,75.3,7.0,91.2,stable
V259,2025-01,18.3,86.6,6.8,77.5,stable
V259,2025-03,20.9,85.3,8.9,76.5,stable
V259,2025-04,19.4,84.2,10.7,82.9,stable
V259,2025-05,20.9,79.8,15.3,72.6,stable
V259,2025-05,18.7,81.5,12.1,79.7,stable
V259,2025-06,17.0,85.2,8.2,96.7,stable
V259,2025-07,21.5,81.3,15.0,76.1,stable
V259,2025-08,19.7,78.3,13.9,67.6,stable
V259,2025-09,17.9,78.4,10.5,88.4,stable
V259,2025-10,19.2,78.7,13.5,89.2,stable
V259,2025-11,21.0,84.0,10.7,77.5,stable
V069,2025-01,33.8,60.9,14.4,73.6,stable
V069,2025-01,35.7,58.5,16.8,52.1,stable
V069,2025-03,35.1,64.4,13.1,73.1,decreasing
V069,2025-04,30.8,79.1,11.4,72.7,decreasing
V069,2025-05,26.4,82.3,12.1,65.5,decreasing
V069,2025-05,28.5,70.3,10.5,72.3,decreasing
V069,2025-06,23.3,67.4,10.2,89.1,decreasing
V069,2025-07,25.7,73.6,16.6,87.3,decreasing
V069,2025-08,22.0,70.7,15.5,79.1,decreasing
V069,2025-09,20.5,78.6,12.7,90.8,decreasing
V069,2025-10,17.8,85.0,9.2,94.5,decreasing
V069,2025-11,16.3,78.2,4.0,77.9,decreasing
V256,2025-01,64.1,40.0,34.6,50.0,stable
V256,2025-01,65.5,40.0,34.6,50.0,stable
V256,2025-03,68.1,40.0,36.7,50.0,stable
V256,2025-04,67.0,40.0,34.0,50.0,stable
V256,2025-05,68.5,40.0,31.7,50.0,stable
V256,2025-05,66.8,40.0,30.6,50.0,stable
V256,2025-06,66.5,40.0,36.3,50.0,stable
V256,2025-07,66.7,40.0,34.8,50.0,stable
V256,2025-08,64.0,40.0,27.7,50.0,stable
V256,2025-09,62.8,40.0,30.9,50.0,stable
V256,2025-10,64.9,40.0,29.0,50.0,stable
V256,2025-11,61.9,47.6,28.8,50.0,stable
V003,2025-01,68.5,40.0,31.4,50.0,stable
V003,2025-01,73.2,40.0,35.3,50.0,stable
V003,2025-03,69.2,40.0,37.1,50.0,increasing
V003,2025-04,71.1,40.0,36.0,50.0,increasing
V003,2025-05,75.4,40.0,36.5,50.0,increasing
V003,2025-05,76.4,40.0,37.1,50.0,increasing
V003,2025-06,72.6,40.0,33.3,50.0,increasing
V003,2025-07,72.1,40.0,33.2,50.0,increasing
V003,2025-08,77.9,40.0,35.5,50.0,increasing
V003,2025-09,77.1,40.0,34.8,50.0,increasing
V003,2025-10,74.9,40.0,33.0,50.0,increasing
V003,2025-11,79.5,40.0,39.1,50.0,increasing
V272,2025-01,51.7,40.0,21.3,56.8,stable
V272,2025-01,50.5,51.4,24.0,50.0,stable
V272,2025-03,49.3,42.5,25.8,63.6,increasing
V272,2025-04,55.0,47.5,23.1,50.0,increasing
V272,2025-05,53.9,51.9,23.2,50.0,increasing
V272,2025-05,56.3,49.5,30.7,52.9,increasing
V272,2025-06,53.7,40.2,28.7,50.0,increasing
V272,2025-07,52.6,55.4,26.1,50.0,increasing
V272,2025-08,54.2,49.7,24.0,50.0,increasing
V272,2025-09,55.2,49.4,25.4,54.7,increasing
V272,2025-10,59.3,41.8,25.3,50.0,increasing
V272,2025-11,56.2,40.0,26.8,50.0,increasing
V377,2025-01,81.3,40.0,39.3,50.0,stable
V377,2025-01,78.1,40.0,43.7,50.0,stable
V377,2025-03,77.4,40.0,41.4,50.0,stable
V377,2025-04,78.1,40.0,37.3,50.0,stable
V377,2025-05,80.5,40.0,44.6,50.0,stable
V377,2025-05,76.9,40.0,35.4,50.0,stable
V377,2025-06,80.7,40.0,40.2,50.0,stable
V377,2025-07,80.5,40.0,37.5,50.0,stable
V377,2025-08,77.2,40.0,40.2,50.0,stable
V377,2025-09,82.3,40.0,42.5,50.0,stable
V377,2025-10,81.9,40.0,44.2,50.0,stable
V377,2025-11,77.9,40.0,39.2,50.0,stable
V025,2025-01,55.8,40.0,30.1,50.0,stable
V025,2025-01,49.2,51.3,22.1,54.5,stable
V025,2025-03,47.2,57.7,22.8,50.0,decreasing
V025,2025-04,48.1,49.1,23.6,56.9,decreasing
V025,2025-05,47.6,45.7,20.6,50.0,decreasing
V025,2025-05,42.4,50.7,26.2,55.8,decreasing
V025,2025-06,40.6,55.7,25.2,54.1,decreasing
V025,2025-07,38.8,66.5,18.7,68.0,decreasing
V025,2025-08,38.3,62.9,16.3,69.7,decreasing
V025,2025-09,38.3,56.8,23.8,60.1,decreasing
V025,2025-10,33.2,71.3,21.4,69.7,decreasing
V025,2025-11,32.0,77.8,14.0,62.0,decreasing
V284,2025-01,40.1,66.3,22.0,53.1,stable
V284,2025-01,41.5,59.6,25.0,50.0,stable
V284,2025-03,36.7,60.5,14.7,59.4,decreasing
V284,2025-04,38.1,56.5,22.2,50.0,decreasing
V284,2025-05,35.3,73.1,20.0,71.4,decreasing
V284,2025-05,35.8,57.6,21.2,69.8,decreasing
V284,2025-06,32.8,75.4,17.3,61.3,decreasing
V284,2025-07,31.9,69.6,11.7,54.8,decreasing
V284,2025-08,30.4,66.6,18.3,67.1,decreasing
V284,2025-09,29.2,78.2,11.8,75.4,decreasing
V284,2025-10,25.8,64.5,15.7,70.7,decreasing
V284,2025-11,22.2,68.6,11.5,67.3,decreasing
V479,2025-01,76.3,40.0,37.1,50.0,stable
V479,2025-01,80.4,40.0,37.4,50.0,stable
V479,2025-03,80.0,40.0,35.8,50.0,increasing
V479,2025-04,78.8,40.0,35.2,50.0,increasing
V479,2025-05,84.0,40.0,38.3,50.0,increasing
V479,2025-05,83.1,40.0,38.5,50.0,increasing
V479,2025-06,85.4,40.0,38.4,50.0,increasing
V479,2025-07,83.8,40.0,37.8,50.0,increasing
V479,2025-08,85.2,40.0,40.8,50.0,increasing
V479,2025-09,83.6,40.0,46.7,50.0,increasing
V479,2025-10,90.3,40.0,41.6,50.0,increasing
V479,2025-11,90.1,40.0,43.8,50.0,increasing
V222,2025-01,23.5,79.0,8.2,86.5,stable
V222,2025-01,22.1,74.7,14.1,72.0,stable
V222,2025-03,21.6,75.0,13.2,69.7,decreasing
V222,2025-04,20.5,84.6,10.7,83.2,decreasing
V222,2025-05,21.5,82.4,12.4,74.8,decreasing
V222,2025-05,19.4,81.1,7.2,67.4,decreasing
V222,2025-06,13.5,90.4,4.5,85.4,decreasing
V222,2025-07,16.4,74.9,9.8,88.5,decreasing
V222,2025-08,14.6,82.6,3.4,79.2,decreasing
V222,2025-09,12.8,84.9,11.2,87.4,decreasing
V222,2025-10,10.2,97.9,4.9,92.7,decreasing
V222,2025-11,5.0,89.0,7.2,96.8,decreasing
V430,2025-01,17.2,79.5,7.5,72.5,stable
V430,2025-01,15.2,81.8,8.9,76.9,stable
V430,2025-03,18.1,81.9,12.2,85.6,decreasing
V430,2025-04,16.7,91.1,11.5,69.2,decreasing
V430,2025-05,13.8,81.8,3.4,98.1,decreasing
V430,2025-05,13.6,78.2,5.6,100.0,decreasing
V430,2025-06,12.4,90.1,3.5,79.8,decreasing
V430,2025-07,8.8,100.0,8.5,86.1,decreasing
V430,2025-08,10.3,83.9,1.5,91.0,decreasing
V430,2025-09,11.0,96.3,3.6,95.2,decreasing
V430,2025-10,8.4,84.3,9.2,100.0,decreasing
V430,2025-11,5.3,100.0,6.8,89.2,decreasing
V300,2025-01,32.3,72.3,18.8,79.1,stable
V300,2025-01,28.5,69.7,13.7,84.5,stable
V300,2025-03,30.4,78.3,12.9,78.0,decreasing
V300,2025-04,24.7,69.0,15.0,78.6,decreasing
V300,2025-05,24.7,76.6,9.7,67.3,decreasing
V300,2025-05,26.2,70.9,15.0,73.1,decreasing
V300,2025-06,24.2,77.9,14.2,72.1,decreasing
V300,2025-07,25.3,74.6,9.0,65.5,decreasing
V300,2025-08,19.4,85.9,4.8,73.7,decreasing
V300,2025-09,20.7,84.2,15.2,87.0,decreasing
V300,2025-10,17.6,90.9,13.7,93.4,decreasing
V300,2025-11,19.2,77.3,9.2,73.2,decreasing
V248,2025-01,67.9,40.0,32.9,50.0,stable
V248,2025-01,65.0,40.0,33.9,50.0,stable
V248,2025-03,60.4,40.0,29.8,50.9,decreasing
V248,2025-04,64.0,40.0,32.4,50.5,decreasing
V248,2025-05,57.6,40.2,31.4,56.3,decreasing
V248,2025-05,57.1,41.7,32.4,51.1,decreasing
V248,2025-06,56.2,40.0,26.1,56.3,decreasing
V248,2025-07,57.3,50.8,28.3,50.0,decreasing
V248,2025-08,52.2,47.8,22.9,50.3,decreasing
V248,2025-09,55.7,45.3,26.8,50.0,decreasing
V248,2025-10,49.0,50.0,28.5,62.8,decreasing
V248,2025-11,52.8,40.0,24.6,51.7,decreasing
V474,2025-01,32.5,71.6,17.6,55.0,stable
V474,2025-01,37.8,66.7,23.7,65.5,stable
V474,2025-03,36.2,64.8,13.5,54.0,increasing
V474,2025-04,38.8,68.6,23.0,51.1,increasing
V474,2025-05,39.3,66.1,15.1,55.0,increasing
V474,2025-05,44.4,64.8,20.1,50.0,increasing
V474,2025-06,47.0,62.2,18.5,61.0,increasing
V474,2025-07,43.3,56.7,21.6,66.0,increasing
V474,2025-08,48.4,51.4,21.4,56.3,increasing
V474,2025-09,49.1,49.7,25.6,50.0,increasing
V474,2025-10,53.3,42.3,27.9,56.3,increasing
V474,2025-11,50.8,42.9,21.0,50.0,increasing
V261,2025-01,35.0,60.9,21.7,51.4,stable
V261,2025-01,31.0,62.6,17.2,72.3,stable
V261,2025-03,31.1,70.8,18.4,59.2,decreasing
V261,2025-04,28.2,73.3,18.4,59.6,decreasing
V261,2025-05,25.8,71.6,11.7,61.2,decreasing
V261,2025-05,25.1,75.9,10.5,64.0,decreasing
V261,2025-06,25.2,70.3,12.9,75.6,decreasing
V261,2025-07,23.7,78.6,7.9,83.2,decreasing
V261,2025-08,21.8,88.0,10.7,83.9,decreasing
V261,2025-09,22.1,87.6,8.9,81.2,decreasing
V261,2025-10,16.9,83.6,13.4,78.7,decreasing
V261,2025-11,14.3,87.0,7.3,89.7,decreasing
V400,2025-01,76.4,40.0,35.1,50.0,stable
V400,2025-01,76.0,40.0,40.4,50.0,stable
V400,2025-03,75.0,40.0,33.0,50.0,decreasing
V400,2025-04,74.4,40.0,38.6,50.0,decreasing
V400,2025-05,69.2,40.0,32.6,50.0,decreasing
V400,2025-05,70.5,40.0,33.6,50.0,decreasing
V400,2025-06,67.5,41.7,37.1,50.0,decreasing
V400,2025-07,67.2,41.2,33.4,50.0,decreasing
V400,2025-08,60.6,40.0,26.9,50.0,decreasing
V400,2025-09,63.8,44.2,31.5,50.0,decreasing
V400,2025-10,62.3,40.0,31.4,50.0,decreasing
V400,2025-11,59.0,42.1,24.7,50.0,decreasing
V472,2025-01,54.9,51.9,25.8,50.0,stable
V472,2025-01,56.9,40.0,29.5,50.0,stable
V472,2025-03,54.2,51.5,25.2,56.6,stable
V472,2025-04,57.5,40.0,24.6,53.8,stable
V472,2025-05,55.2,51.4,25.6,50.0,stable
V472,2025-05,53.7,43.7,22.2,50.0,stable
V472,2025-06,53.0,47.1,29.5,59.2,stable
V472,2025-07,53.1,43.7,26.4,58.1,stable
V472,2025-08,53.8,42.8,29.6,50.0,stable
V472,2025-09,57.6,42.8,33.7,50.0,stable
V472,2025-10,51.6,46.1,29.5,50.0,stable
V472,2025-11,53.0,40.0,30.0,58.2,stable
V467,2025-01,54.6,50.7,29.8,50.0,stable
V467,2025-01,58.8,44.0,26.5,50.0,stable
V467,2025-03,56.2,44.5,30.8,50.0,stable
V467,2025-04,56.3,40.0,24.3,57.4,stable
V467,2025-05,58.3,40.0,29.6,50.0,stable
V467,2025-05,56.8,52.1,31.4,50.0,stable
V467,2025-06,56.4,40.0,32.1,50.0,stable
V467,2025-07,55.9,40.0,32.0,50.0,stable
V467,2025-08,58.2,40.0,28.0,50.0,stable
V467,2025-09,61.4,41.1,32.6,50.0,stable
V467,2025-10,58.5,40.0,26.2,50.0,stable
V467,2025-11,61.4,40.0,34.9,50.0,stable
V091,2025-01,33.5,65.8,16.3,72.0,stable
V091,2025-01,30.5,68.8,12.6,61.2,stable
V091,2025-03,29.7,72.6,19.0,67.0,decreasing
V091,2025-04,27.0,76.3,16.4,84.4,decreasing
V091,2025-05,23.8,66.8,11.7,71.7,decreasing
V091,2025-05,22.2,71.2,13.8,81.0,decreasing
V091,2025-06,18.4,73.6,12.4,90.5,decreasing
V091,2025-07,17.9,85.1,11.9,83.1,decreasing
V091,2025-08,16.7,81.6,9.5,84.8,decreasing
V091,2025-09,18.4,79.3,7.6,91.0,decreasing
V091,2025-10,14.4,91.3,6.5,94.3,decreasing
V091,2025-11,12.4,82.4,7.8,75.0,decreasing
V355,2025-01,76.8,40.0,41.6,50.0,stable
V355,2025-01,78.3,40.0,35.3,50.0,stable
V355,2025-03,75.9,40.0,37.9,50.0,decreasing
V355,2025-04,70.4,40.0,39.1,50.0,decreasing
V355,2025-05,72.3,40.0,32.6,50.0,decreasing
V355,2025-05,70.2,40.0,35.9,50.0,decreasing
V355,2025-06,69.8,40.0,35.6,50.0,decreasing
V355,2025-07,66.1,42.8,32.4,50.0,decreasing
V355,2025-08,65.0,40.0,27.6,50.0,decreasing
V355,2025-09,63.9,40.0,29.9,50.0,decreasing
V355,2025-10,63.4,40.0,33.7,50.0,decreasing
V355,2025-11,60.9,46.3,34.1,50.0,decreasing
V297,2025-01,64.3,40.0,32.6,50.0,stable
V297,2025-01,65.8,40.0,31.8,50.0,stable
V297,2025-03,69.0,40.0,39.5,50.0,increasing
V297,2025-04,65.7,40.0,28.0,50.0,increasing
V297,2025-05,68.8,40.0,39.3,50.0,increasing
V297,2025-05,70.7,40.0,34.9,50.0,increasing
V297,2025-06,71.5,40.0,32.5,50.0,increasing
V297,2025-07,72.2,40.0,34.6,50.0,increasing
V297,2025-08,73.4,40.0,40.2,50.0,increasing
V297,2025-09,73.8,40.0,37.4,50.0,increasing
V297,2025-10,77.6,40.0,40.9,50.0,increasing
V297,2025-11,75.6,40.0,34.2,50.0,increasing
V089,2025-01,50.1,52.1,22.5,53.8,stable
V089,2025-01,51.0,52.4,27.3,50.2,stable
V089,2025-03,50.5,51.8,29.3,50.6,stable
V089,2025-04,47.1,52.0,27.6,55.1,stable
V089,2025-05,49.0,48.0,29.3,50.0,stable
V089,2025-05,48.1,55.8,25.0,50.0,stable
V089,2025-06,51.8,43.4,27.2,50.6,stable
V089,2025-07,50.5,52.6,23.2,56.6,stable
V089,2025-08,47.2,52.5,19.9,50.0,stable
V089,2025-09,51.8,43.2,27.1,50.0,stable
V089,2025-10,48.6,56.2,25.4,63.7,stable
V089,2025-11,51.5,51.6,24.5,50.0,stable
V375,2025-01,45.2,45.5,27.4,68.9,stable
V375,2025-01,45.4,61.1,26.1,62.2,stable
V375,2025-03,44.1,53.6,23.7,62.7,stable
V375,2025-04,42.4,59.1,24.6,50.0,stable
V375,2025-05,42.8,63.6,16.9,56.1,stable
V375,2025-05,43.9,55.6,26.4,68.8,stable
V375,2025-06,42.3,61.4,20.0,50.6,stable
V375,2025-07,43.8,54.9,19.8,65.1,stable
V375,2025-08,42.8,53.6,21.7,70.9,stable
V375,2025-09,40.9,59.8,19.0,69.5,stable
V375,2025-10,43.7,59.3,19.6,50.0,stable
V375,2025-11,44.7,50.4,23.2,54.1,stable
V418,2025-01,46.6,53.8,25.1,68.2,stable
V418,2025-01,45.4,44.8,17.8,50.0,stable
V418,2025-03,47.5,53.0,25.6,50.0,increasing
V418,2025-04,50.9,44.2,20.8,52.7,increasing
V418,2025-05,48.4,53.5,28.1,50.0,increasing
V418,2025-05,53.1,40.0,31.1,50.0,increasing
V418,2025-06,54.7,42.8,30.0,50.0,increasing
V418,2025-07,57.4,40.0,24.8,50.0,increasing
V418,2025-08,55.8,47.4,23.7,50.0,increasing
V418,2025-09,61.5,43.8,32.7,50.0,increasing
V418,2025-10,61.7,40.0,33.7,50.0,increasing
V418,2025-11,59.0,40.0,34.4,50.0,increasing
V066,2025-01,48.0,60.6,25.1,50.0,stable
V066,2025-01,46.8,46.1,26.1,50.0,stable
V066,2025-03,46.5,61.7,25.4,50.0,decreasing
V066,2025-04,42.0,59.5,18.5,56.4,decreasing
V066,2025-05,45.7,47.2,24.3,67.3,decreasing
V066,2025-05,43.2,52.1,23.6,69.0,decreasing
V066,2025-06,41.5,58.8,25.1,58.2,decreasing
V066,2025-07,39.5,67.4,22.6,69.1,decreasing
V066,2025-08,39.0,51.1,24.0,70.6,decreasing
V066,2025-09,37.4,63.9,23.1,58.3,decreasing
V066,2025-10,37.5,60.5,20.1,76.3,decreasing
V066,2025-11,32.8,67.9,21.0,54.6,decreasing
V054,2025-01,71.1,40.0,34.4,50.0,stable
V054,2025-01,74.3,40.0,38.4,50.0,stable
V054,2025-03,70.7,40.0,37.7,50.0,stable
V054,2025-04,71.4,40.0,36.6,50.0,stable
V054,2025-05,70.7,40.0,33.4,50.0,stable
V054,2025-05,75.4,40.0,42.7,50.0,stable
V054,2025-06,70.9,40.0,30.9,50.0,stable
V054,2025-07,75.5,40.0,37.3,50.0,stable
V054,2025-08,76.0,40.0,38.8,50.0,stable
V054,2025-09,71.0,40.0,37.0,50.0,stable
V054,2025-10,76.4,40.0,40.2,50.0,stable
V054,2025-11,72.0,40.0,34.1,50.0,stable
V199,2025-01,73.5,40.0,32.8,50.0,stable
V199,2025-01,75.6,40.0,40.8,50.0,stable
V199,2025-03,76.4,40.0,40.0,50.0,increasing
V199,2025-04,78.1,40.0,35.4,50.0,increasing
V199,2025-05,77.8,40.0,39.8,50.0,increasing
V199,2025-05,74.5,40.0,36.4,50.0,increasing
V199,2025-06,77.9,40.0,43.2,50.0,increasing
V199,2025-07,75.9,40.0,39.1,50.0,increasing
V199,2025-08,76.1,40.0,33.1,50.0,increasing
V199,2025-09,77.3,40.0,42.5,50.0,increasing
V199,2025-10,82.4,40.0,43.1,50.0,increasing
V199,2025-11,82.2,40.0,40.2,50.0,increasing
V337,2025-01,19.0,90.0,10.8,89.5,stable
V337,2025-01,18.9,71.2,6.8,69.7,stable
V337,2025-03,20.7,71.2,9.0,87.1,increasing
V337,2025-04,21.5,72.8,13.5,83.2,increasing
V337,2025-05,20.7,73.1,13.3,84.8,increasing
V337,2025-05,25.7,73.8,9.6,79.4,increasing
V337,2025-06,20.9,82.0,8.3,77.2,increasing
V337,2025-07,23.4,82.7,14.3,62.9,increasing
V337,2025-08,26.6,81.9,10.1,82.0,increasing
V337,2025-09,25.8,66.5,16.9,80.8,increasing
V337,2025-10,27.3,69.3,10.6,78.0,increasing
V337,2025-11,26.4,79.2,11.5,61.5,increasing
V308,2025-01,65.3,40.0,32.5,50.0,stable
V308,2025-01,63.8,44.8,31.5,50.0,stable
V308,2025-03,62.7,41.7,32.7,51.6,decreasing
V308,2025-04,62.0,40.0,32.9,50.0,decreasing
V308,2025-05,60.6,46.5,29.9,50.0,decreasing
V308,2025-05,60.7,47.0,31.4,50.0,decreasing
V308,2025-06,61.4,40.8,27.4,52.7,decreasing
V308,2025-07,61.7,40.0,34.4,50.0,decreasing
V308,2025-08,61.5,40.4,34.1,50.0,decreasing
V308,2025-09,58.8,45.9,26.9,50.0,decreasing
V308,2025-10,56.8,51.0,29.3,50.0,decreasing
V308,2025-11,55.7,40.0,32.7,50.0,decreasing
V311,2025-01,72.2,40.0,35.9,50.0,stable
V311,2025-01,78.6,40.0,36.7,50.0,stable
V311,2025-03,75.4,40.0,42.2,50.0,increasing
V311,2025-04,78.7,40.0,35.3,50.0,increasing
V311,2025-05,80.4,40.0,43.8,50.0,increasing
V311,2025-05,80.4,40.0,42.9,50.0,increasing
V311,2025-06,84.3,40.0,40.9,50.0,increasing
V311,2025-07,87.4,40.0,39.4,50.0,increasing
V311,2025-08,87.2,40.0,42.9,50.0,increasing
V311,2025-09,92.6,40.0,49.2,50.0,increasing
V311,2025-10,89.0,40.0,46.9,50.0,increasing
V311,2025-11,95.0,40.0,50.0,50.0,increasing
V452,2025-01,60.2,40.0,30.7,50.0,stable
V452,2025-01,62.3,40.0,36.0,50.0,stable
V452,2025-03,58.8,40.7,33.8,50.0,stable
V452,2025-04,64.0,40.0,34.4,50.0,stable
V452,2025-05,60.4,40.0,32.0,50.0,stable
V452,2025-05,58.7,40.0,29.2,50.0,stable
V452,2025-06,59.2,45.0,31.4,50.0,stable
V452,2025-07,60.3,42.2,33.1,53.1,stable
V452,2025-08,63.4,45.4,27.4,50.0,stable
V452,2025-09,61.4,40.0,34.7,50.0,stable
V452,2025-10,64.5,40.0,30.0,50.0,stable
V452,2025-11,61.8,45.7,31.1,50.0,stable
V165,2025-01,52.2,40.4,24.6,50.0,stable
V165,2025-01,53.1,42.7,22.2,58.0,stable
V165,2025-03,51.0,58.0,26.9,50.0,stable
V165,2025-04,51.9,51.0,24.2,50.9,stable
V165,2025-05,54.3,52.5,26.6,50.0,stable
V165,2025-05,51.2,54.6,22.3,50.0,stable
V165,2025-06,53.6,55.8,29.5,50.0,stable
